GF(7^3),0,1,x,x²,6x² + 6x + 5,6x + 2,6x² + 2x,3x² + x + 2,5x² + 6x + 1,x² + 3x + 4,2x² + 3x + 5,x² + 3x + 3,2x² + 2x + 5,3x + 3,3x² + 3x,4x + 1,4x² + x,4x² + 3x + 6,6x² + 2x + 6,3x² + 2,4x² + 6x + 1,2x² + 4x + 6,2x² + 4x + 3,2x² + x + 3,6x² + x + 3,2x² + 4x + 2,2x² + 3,5x² + x + 3,3x² + 5x + 4,2x² + x + 1,6x² + 6x + 3,4x + 2,4x² + 2x,5x² + 3x + 6,5x² + x + 4,3x² + 6x + 4,3x² + x + 1,5x² + 5x + 1,3x + 4,3x² + 4x,x² + 4x + 1,3x² + 5,4x² + 2x + 1,5x² + 4x + 6,6x² + x + 4,2x² + 5x + 2,3x² + 3,4x² + 1,3x² + 4x + 6,x² + 3x + 1,2x² + 5,5x² + 3x + 3,5x² + 5x + 4,6x + 4,6x² + 4x,5x² + x + 2,3x² + 4x + 4,x² + x + 1,5,5x,5x²,2x² + 2x + 4,2x + 3,2x² + 3x,x² + 5x + 3,4x² + 2x + 5,5x² + x + 6,3x² + x + 4,5x² + x + 1,3x² + 3x + 4,x + 1,x² + x,6x + 5,6x² + 5x,6x² + x + 2,2x² + 3x + 2,x² + 3,6x² + 2x + 5,3x² + 6x + 2,3x² + 6x + 1,3x² + 5x + 1,2x² + 5x + 1,3x² + 6x + 3,3x² + 1,4x² + 5x + 1,x² + 4x + 6,3x² + 5x + 5,2x² + 2x + 1,6x + 3,6x² + 3x,4x² + x + 2,4x² + 5x + 6,x² + 2x + 6,x² + 5x + 5,4x² + 4x + 5,x + 6,x² + 6x,5x² + 6x + 5,x² + 4,6x² + 3x + 5,4x² + 6x + 2,2x² + 5x + 6,3x² + 4x + 3,x² + 1,6x² + 5,x² + 6x + 2,5x² + x + 5,3x² + 4,4x² + x + 1,4x² + 4x + 6,2x + 6,2x² + 6x,4x² + 5x + 3,x² + 6x + 6,5x² + 5x + 5,4,4x,4x²,3x² + 3x + 6,3x + 1,3x² + x,5x² + 4x + 1,6x² + 3x + 4,4x² + 5x + 2,x² + 5x + 6,4x² + 5x + 5,x² + x + 6,5x + 5,5x² + 5x,2x + 4,2x² + 4x,2x² + 5x + 3,3x² + x + 3,5x² + 1,2x² + 3x + 4,x² + 2x + 3,x² + 2x + 5,x² + 4x + 5,3x² + 4x + 5,x² + 2x + 1,x² + 5,6x² + 4x + 5,5x² + 6x + 2,x² + 4x + 4,3x² + 3x + 5,2x + 1,2x² + x,6x² + 5x + 3,6x² + 4x + 2,5x² + 3x + 2,5x² + 4x + 4,6x² + 6x + 4,5x + 2,5x² + 2x,4x² + 2x + 4,5x² + 6,2x² + x + 4,6x² + 2x + 3,3x² + 4x + 2,x² + 6x + 1,5x² + 5,2x² + 4,5x² + 2x + 3,4x² + 5x + 4,x² + 6,6x² + 5x + 5,6x² + 6x + 2,3x + 2,3x² + 2x,6x² + 4x + 1,5x² + 2x + 2,4x² + 4x + 4,6,6x,6x²,x² + x + 2,x + 5,x² + 5x,4x² + 6x + 5,2x² + x + 6,6x² + 4x + 3,5x² + 4x + 2,6x² + 4x + 4,5x² + 5x + 2,4x + 4,4x² + 4x,3x + 6,3x² + 6x,3x² + 4x + 1,x² + 5x + 1,4x² + 5,3x² + x + 6,5x² + 3x + 1,5x² + 3x + 4,5x² + 6x + 4,x² + 6x + 4,5x² + 3x + 5,5x² + 4,2x² + 6x + 4,4x² + 2x + 3,5x² + 6x + 6,x² + x + 4,3x + 5,3x² + 5x,2x² + 4x + 1,2x² + 6x + 3,4x² + x + 3,4x² + 6x + 6,2x² + 2x + 6,4x + 3,4x² + 3x,6x² + 3x + 6,4x² + 2,3x² + 5x + 6,2x² + 3x + 1,x² + 6x + 3,5x² + 2x + 5,4x² + 4,3x² + 6,4x² + 3x + 1,6x² + 4x + 6,5x² + 2,2x² + 4x + 4,2x² + 2x + 3,x + 3,x² + 3x,2x² + 6x + 5,4x² + 3x + 3,6x² + 6x + 6,2,2x,2x²,5x² + 5x + 3,5x + 4,5x² + 4x,6x² + 2x + 4,3x² + 5x + 2,2x² + 6x + 1,4x² + 6x + 3,2x² + 6x + 6,4x² + 4x + 3,6x + 6,6x² + 6x,x + 2,x² + 2x,x² + 6x + 5,5x² + 4x + 5,6x² + 4,x² + 5x + 2,4x² + x + 5,4x² + x + 6,4x² + 2x + 6,5x² + 2x + 6,4x² + x + 4,4x² + 6,3x² + 2x + 6,6x² + 3x + 1,4x² + 2x + 2,5x² + 5x + 6,x + 4,x² + 4x,3x² + 6x + 5,3x² + 2x + 1,6x² + 5x + 1,6x² + 2x + 2,3x² + 3x + 2,6x + 1,6x² + x,2x² + x + 2,6x² + 3,x² + 4x + 2,3x² + x + 5,5x² + 2x + 1,4x² + 3x + 4,6x² + 6,x² + 2,6x² + x + 5,2x² + 6x + 2,4x² + 3,3x² + 6x + 6,3x² + 3x + 1,5x + 1,5x² + x,3x² + 2x + 4,6x² + x + 1,2x² + 2x + 2,3,3x,3x²,4x² + 4x + 1,4x + 6,4x² + 6x,2x² + 3x + 6,x² + 4x + 3,3x² + 2x + 5,6x² + 2x + 1,3x² + 2x + 2,6x² + 6x + 1,2x + 2,2x² + 2x,5x + 3,5x² + 3x,5x² + 2x + 4,4x² + 6x + 4,2x² + 6,5x² + 4x + 3,6x² + 5x + 4,6x² + 5x + 2,6x² + 3x + 2,4x² + 3x + 2,6x² + 5x + 6,6x² + 2,x² + 3x + 2,2x² + x + 5,6x² + 3x + 3,4x² + 4x + 2,5x + 6,5x² + 6x,x² + 2x + 4,x² + 3x + 5,2x² + 4x + 5,2x² + 3x + 3,x² + x + 3,2x + 5,2x² + 5x,3x² + 5x + 3,2x² + 1,5x² + 6x + 3,x² + 5x + 4,4x² + 3x + 5,6x² + x + 6,2x² + 2,5x² + 3,2x² + 5x + 4,3x² + 2x + 3,6x² + 1,x² + 2x + 2,x² + x + 5,4x + 5,4x² + 5x,x² + 3x + 6,2x² + 5x + 5,3x² + 3x + 3,0 soln's,1 soln,2 soln's,3 soln's,Total soln's
5x,2,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,114,170,3,56,344
5x²,2,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,3,3,0,0,1,1,1,1,1,1,1,0,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,3,3,0,0,1,1,1,1,1,1,1,0,1,0,3,114,172,1,56,342
2x² + 2x + 4,2,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,1,3,1,1,1,1,1,1,1,114,170,3,56,344
2x + 3,2,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,3,3,0,0,1,1,1,1,1,1,1,0,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,3,3,0,0,1,1,1,1,1,1,1,0,114,172,1,56,342
2x² + 3x,2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,1,3,1,1,1,1,114,170,3,56,344
x² + 5x + 3,2,1,1,0,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,3,3,0,0,1,1,1,1,1,1,1,0,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,3,3,0,0,1,1,1,1,1,114,172,1,56,342
4x² + 2x + 5,2,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,1,3,1,114,170,3,56,344
5x² + x + 6,2,1,1,1,1,1,0,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,3,3,0,0,1,1,1,1,1,1,1,0,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,3,3,0,0,1,1,114,172,1,56,342
3x² + x + 4,2,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,114,170,3,56,344
5x² + x + 1,2,0,1,1,1,1,1,1,1,0,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,3,3,0,0,1,1,1,1,1,1,1,0,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,3,3,0,114,172,1,56,342
3x² + 3x + 4,2,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,114,170,3,56,344
x + 1,2,3,3,0,0,1,1,1,1,1,1,1,0,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,3,3,0,0,1,1,1,1,1,1,1,0,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,114,172,1,56,342
x² + x,2,1,1,0,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,114,170,3,56,344
6x + 5,2,1,1,1,3,3,0,0,1,1,1,1,1,1,1,0,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,1,1,1,3,3,0,0,1,1,1,1,1,1,1,0,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,0,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,1,0,3,1,0,1,3,1,1,1,0,1,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,3,1,1,0,1,1,0,1,1,1,0,0,1,0,1,3,1,1,1,1,3,1,3,1,0,0,1,1,1,0,1,1,3,1,1,3,1,0,0,3,1,0,1,0,3,3,1,1,3,3,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,1,3,3,0,1,0,0,1,1,0,3,3,1,3,1,1,0,114,172,1,56,342
6x² + 5x,2,3,1,3,1,1,0,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,3,1,3,1,1,0,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,3,0,3,1,3,1,0,0,1,0,0,1,3,1,1,0,0,1,3,3,1,1,0,0,1,1,1,0,3,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,3,1,1,1,1,3,1,3,0,0,3,1,3,1,0,3,0,1,1,0,1,3,1,3,3,0,2,1,1,1,0,1,3,1,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,0,1,1,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,3,1,1,0,114,170,3,56,344
